model_a,model_b,auc_a,auc_b,delta_obs,delta_auc,ci_low,ci_high,p_value,n_patients,n_boot_valid,warning
CNN,XGB,0.46794871794871795,0.657051282051282,-0.1891025641025641,-0.18109230769230772,-0.6538461538461539,0.45192307692307687,0.53,55,5000,"Extreme imbalance (52 pos, 3 neg): using stratified bootstrap"
CNN,RF,0.46794871794871795,0.5448717948717948,-0.07692307692307687,-0.0699371794871795,-0.5192307692307692,0.5192307692307692,0.6844,55,5000,"Extreme imbalance (52 pos, 3 neg): using stratified bootstrap"
XGB,RF,0.657051282051282,0.5448717948717948,0.11217948717948723,0.1111551282051282,0.0288461538461538,0.19871794871794873,0.012,55,5000,"Extreme imbalance (52 pos, 3 neg): using stratified bootstrap"
