model,Brier_raw,ECE_raw,Brier_Platt,ECE_Platt,Brier_Isotonic,ECE_Isotonic,Brier_TempScaling,ECE_TempScaling
RF,0.059452512929642404,0.06667788720172271,0.05753093226335703,0.07665717025127783,0.06767783920043483,0.12249952626149253,,
XGB,0.10695058614767204,0.16425288753076034,0.05750278404647609,0.07672173867227894,0.06961243141147451,0.1190579923716458,,
CNN,0.13068171693284045,0.24076073440638454,,,,,0.1250388044510587,0.18089158004533434
